"destination_id","destination_name","floor","type"
"b1_main_engine_room","总机房","B1","room"
"b1_multifunction_hall","多功能厅","B1","public"
"b1_multifunction_lobby","多功能厅大厅","B1","public"
"b1_n_stair","负一层北楼梯口","B1","public"
"b1_power_room","配电房","B1","room"
"b1_room_4001","4001","B1","room"
"b1_room_4002","4002","B1","room"
"b1_s_stair","负一层南楼梯口","B1","public"
"b1_storage_room","储藏室","B1","room"
"f1_east_gate","一层东门","F1","public"
"f1_left_stair_4101","4101左侧楼梯口","F1","public"
"f1_left_stair_4108","4108左侧楼梯口","F1","public"
"f1_middle_stair","F1中间楼梯口","F1","public"
"f1_room_4101","4101阶梯教室","F1","room"
"f1_room_4102","4102阶梯教室","F1","room"
"f1_room_4103","4103阶梯教室","F1","room"
"f1_room_4104","4104阶梯教室","F1","room"
"f1_room_4105","4105教室","F1","room"
"f1_room_4106","4106教室","F1","room"
"f1_room_4107","4107多媒体陈列室","F1","room"
"f1_room_4108","4108教室","F1","room"
"f1_room_4109","4109教室","F1","room"
"f1_room_4110","4110教务处（考务办公室）","F1","room"
"f1_room_4110_1","4110-1辅助用房","F1","room"
"f1_room_4111","4111阶梯教室","F1","room"
"f1_room_4111_1","4111-1门卫值班室","F1","room"
"f1_room_4112","4112阶梯教室","F1","room"
"f1_room_4113","4113阶梯教室","F1","room"
"f1_room_4114","4114阶梯教室","F1","room"
"f1_room_4115","4115阶梯教室","F1","room"
"f1_room_4116","4116阶梯教室","F1","room"
"f1_south_gate","一层南门","F1","public"
"f1_stair_left_4116","4116左侧楼梯口","F1","public"
"f1_stair_right_4102","4102右侧楼梯口","F1","public"
"f1_stair_right_4110","4110右侧楼梯口","F1","public"
"f1_stair_right_4111","4111右侧楼梯口","F1","public"
"f1_weak_room","F1弱电房","F1","public"
"f2_n_stair","二层北中楼梯口","F2","public"
"f2_ne_stair","二层东北楼梯口","F2","public"
"f2_nw_stair","二层西北楼梯口","F2","public"
"f2_room_4201","4201教室","F2","room"
"f2_room_4202","4202教室","F2","room"
