序号,图名,点位汇总,实景图汇总,点位数,已关联数
1,f1_east_to_4101.png,"热点 1(x=0.9243, y=0.4507)；热点 2(x=0.8416, y=0.5717)；热点 3(x=0.6918, y=0.6423)；热点 4(x=0.4975, y=0.6423)；热点 5(x=0.4174, y=0.7265)；热点 6(x=0.2655, y=0.7236)",f1_6.jpg；f1_16.jpg；f1_15.jpg；f1_20.jpg；f1_13.jpg；f1_12.jpg,6,6
2,f1_east_to_4102.png,"热点 1(x=0.9246, y=0.4528)；热点 2(x=0.8412, y=0.5708)；热点 3(x=0.6947, y=0.6425)；热点 4(x=0.4976, y=0.6406)",f1_6.jpg；f1_16.jpg；f1_15.jpg；f1_20.jpg,4,4
3,f1_east_to_4103.png,"热点 1(x=0.9235, y=0.4500)；热点 2(x=0.8420, y=0.5690)；热点 3(x=0.6942, y=0.6407)；热点 4(x=0.4977, y=0.6426)；热点 5(x=0.4204, y=0.7240)；热点 6(x=0.2677, y=0.7230)",f1_6.jpg；f1_16.jpg；f1_15.jpg；f1_20.jpg；f1_13.jpg；f1_12.jpg,6,6
4,f1_east_to_4104.png,"热点 1(x=0.9244, y=0.4521)；热点 2(x=0.8423, y=0.5721)；热点 3(x=0.6882, y=0.6409)；热点 4(x=0.4965, y=0.6419)；热点 5(x=0.4294, y=0.7261)",f1_6.jpg；f1_16.jpg；f1_15.jpg；f1_20.jpg；f1_13.jpg,5,5
5,f1_east_to_4105.png,"热点 1(x=0.9240, y=0.4522)；热点 2(x=0.8425, y=0.5703)；热点 3(x=0.6932, y=0.6420)",f1_6.jpg；f1_16.jpg；f1_15.jpg,3,3
6,f1_east_to_4106.png,"热点 1(x=0.9248, y=0.4513)；热点 2(x=0.8419, y=0.5685)",f1_6.jpg；f1_16.jpg,2,2
7,f1_east_to_4107.png,"热点 1(x=0.9242, y=0.4513)；热点 2(x=0.8420, y=0.5724)",f1_6.jpg；f1_16.jpg,2,2
8,f1_east_to_4108.png,"热点 1(x=0.9243, y=0.4504)；热点 2(x=0.8421, y=0.5725)；热点 3(x=0.6989, y=0.6432)",f1_6.jpg；f1_16.jpg；f1_15.jpg,3,3
9,f1_east_to_4109.png,"热点 1(x=0.9238, y=0.4505)；热点 2(x=0.8409, y=0.5706)",f1_6.jpg；f1_16.jpg,2,2
10,f1_east_to_4110.png,"热点 1(x=0.9239, y=0.4505)；热点 2(x=0.8417, y=0.5707)",f1_6.jpg；f1_16.jpg,2,2
11,f1_east_to_4110_1.png,"热点 1(x=0.9247, y=0.4506)",f1_6.jpg,1,1
12,f1_east_to_4111.png,"热点 1(x=0.9247, y=0.4516)；热点 2(x=0.8404, y=0.4487)；热点 3(x=0.8404, y=0.2636)",f1_6.jpg；f1_19.jpg；f1_7.jpg,3,3
13,f1_east_to_4111_1.png,"热点 1(x=0.9249, y=0.4507)；热点 2(x=0.8289, y=0.4487)",f1_6.jpg；f1_19.jpg,2,2
