序号,名称,点位汇总,实景图汇总,点位数,已关联数
1,f4_n_to_4401.png,"f4_n_to_4401.png/热点 1(x=0.5397, y=0.4652)；f4_n_to_4401.png/热点 2(x=0.5411, y=0.6829)；f4_n_to_4401.png/热点 3(x=0.4850, y=0.6839)；f4_n_to_4401.png/热点 4(x=0.2887, y=0.7332)",f4_15.jpg；f4_18.jpg；f4_27.jpg；f4_29.jpg,4,4
2,f4_n_to_4402.png,"f4_n_to_4402.png/热点 1(x=0.5412, y=0.4663)；f4_n_to_4402.png/热点 2(x=0.5405, y=0.6879)；f4_n_to_4402.png/热点 3(x=0.4831, y=0.6869)",f4_15.jpg；f4_18.jpg；f4_27.jpg,3,3
3,f4_n_to_4403.png,"f4_n_to_4403.png/热点 1(x=0.5400, y=0.4742)；f4_n_to_4403.png/热点 2(x=0.5400, y=0.6484)；f4_n_to_4403.png/热点 3(x=0.5777, y=0.6504)",f4_15.jpg；f4_17.jpg；f4_19.jpg,3,3
4,f4_n_to_4403_0.png,"f4_n_to_4403_0.png/热点 1(x=0.5392, y=0.4770)；f4_n_to_4403_0.png/热点 2(x=0.5406, y=0.6473)；f4_n_to_4403_0.png/热点 3(x=0.5714, y=0.6493)",f4_15.jpg；f4_17.jpg；f4_19.jpg,3,3
5,f4_n_to_4404.png,"f4_n_to_4404.png/热点 1(x=0.5401, y=0.4772)；f4_n_to_4404.png/热点 2(x=0.5408, y=0.6495)；f4_n_to_4404.png/热点 3(x=0.5723, y=0.6485)",f4_15.jpg；f4_17.jpg；f4_19.jpg,3,3
6,f4_n_to_4405_1.png,"f4_n_to_4405_1.png/热点 1(x=0.5402, y=0.4792)；f4_n_to_4405_1.png/热点 2(x=0.5402, y=0.6486)；f4_n_to_4405_1.png/热点 3(x=0.5731, y=0.6476)；f4_n_to_4405_1.png/热点 4(x=0.7210, y=0.6486)",f4_15.jpg；f4_17.jpg；f4_19.jpg；f4_21.jpg,4,4
7,f4_n_to_4405_2.png,"f4_n_to_4405_2.png/热点 1(x=0.5403, y=0.4618)；f4_n_to_4405_2.png/热点 2(x=0.5396, y=0.6478)；f4_n_to_4405_2.png/热点 3(x=0.5766, y=0.6497)；f4_n_to_4405_2.png/热点 4(x=0.7184, y=0.6497)",f4_15.jpg；f4_17.jpg；f4_19.jpg；f4_21.jpg,4,4
8,f4_n_to_4406.png,"f4_n_to_4406.png/热点 1(x=0.5404, y=0.4687)；f4_n_to_4406.png/热点 2(x=0.5397, y=0.6479)；f4_n_to_4406.png/热点 3(x=0.5767, y=0.6498)",f4_15.jpg；f4_17.jpg；f4_19.jpg,3,3
9,f4_n_to_4407_1.png,"f4_n_to_4407_1.png/热点 1(x=0.5412, y=0.4794)；f4_n_to_4407_1.png/热点 2(x=0.5405, y=0.6460)；f4_n_to_4407_1.png/热点 3(x=0.5789, y=0.6480)",f4_15.jpg；f4_17.jpg；f4_19.jpg,3,3
10,f4_n_to_4407_2.png,"f4_n_to_4407_2.png/热点 1(x=0.5412, y=0.4863)；f4_n_to_4407_2.png/热点 2(x=0.5399, y=0.6471)；f4_n_to_4407_2.png/热点 3(x=0.5790, y=0.6481)；f4_n_to_4407_2.png/热点 4(x=0.7208, y=0.6471)",f4_15.jpg；f4_17.jpg；f4_19.jpg；f4_21.jpg,4,4
11,f4_n_to_4408_1.png,"f4_n_to_4408_1.png/热点 1(x=0.5400, y=0.4680)；f4_n_to_4408_1.png/热点 2(x=0.5400, y=0.6472)；f4_n_to_4408_1.png/热点 3(x=0.5791, y=0.6492)；f4_n_to_4408_1.png/热点 4(x=0.7210, y=0.6492)",f4_15.jpg；f4_17.jpg；f4_19.jpg；f4_21.jpg,4,4
12,f4_n_to_4408_2.png,"f4_n_to_4408_2.png/热点 1(x=0.5408, y=0.4719)；f4_n_to_4408_2.png/热点 2(x=0.5415, y=0.6483)；f4_n_to_4408_2.png/热点 3(x=0.5785, y=0.6474)；f4_n_to_4408_2.png/热点 4(x=0.7218, y=0.6484)",f4_15.jpg；f4_17.jpg；f4_19.jpg；f4_21.jpg,4,4
13,f4_n_to_4409.png,"f4_n_to_4409.png/热点 1(x=0.5395, y=0.4769)；f4_n_to_4409.png/热点 2(x=0.5402, y=0.6485)；f4_n_to_4409.png/热点 3(x=0.5786, y=0.6475)；f4_n_to_4409.png/热点 4(x=0.7199, y=0.6485)；f4_n_to_4409.png/热点 5(x=0.8659, y=0.6485)",f4_15.jpg；f4_17.jpg；f4_19.jpg；f4_21.jpg；f4_23.jpg,5,5
14,f4_n_to_4410.png,"f4_n_to_4410.png/热点 1(x=0.5403, y=0.4751)；f4_n_to_4410.png/热点 2(x=0.5397, y=0.6467)；f4_n_to_4410.png/热点 3(x=0.5781, y=0.6477)；f4_n_to_4410.png/热点 4(x=0.7200, y=0.6487)；f4_n_to_4410.png/热点 5(x=0.8648, y=0.6477)",f4_15.jpg；f4_17.jpg；f4_19.jpg；f4_21.jpg；f4_23.jpg,5,5
15,f4_n_to_4411.png,"f4_n_to_4411.png/热点 1(x=0.5411, y=0.4907)；f4_n_to_4411.png/热点 2(x=0.5398, y=0.6478)；f4_n_to_4411.png/热点 3(x=0.5803, y=0.6478)；f4_n_to_4411.png/热点 4(x=0.7188, y=0.6479)；f4_n_to_4411.png/热点 5(x=0.8657, y=0.6469)；f4_n_to_4411.png/热点 6(x=0.8657, y=0.4743)",f4_15.jpg；f4_17.jpg；f4_19.jpg；f4_21.jpg；f4_23.jpg；f4_25.jpg,6,6
16,f4_n_to_4412.png,"f4_n_to_4412.png/热点 1(x=0.5695, y=0.2658)；f4_n_to_4412.png/热点 2(x=0.7094, y=0.2648)",f4_4.jpg；f4_7.jpg,2,2
17,f4_n_to_4413.png,"f4_n_to_4413.png/热点 1(x=0.5688, y=0.2639)",f4_4.jpg,1,1
18,f4_n_to_4414.png,"f4_n_to_4414.png/热点 1(x=0.5682, y=0.2649)",f4_4.jpg,1,1
19,f4_n_to_4415.png,"f4_n_to_4415.png/热点 1(x=0.5682, y=0.2639)",f4_5.jpg,1,1
20,f4_n_to_4416.png,"f4_n_to_4416.png/热点 1(x=0.5696, y=0.2659)；f4_n_to_4416.png/热点 2(x=0.3926, y=0.2630)",f4_5.jpg；f4_3.jpg,2,2
21,f4_n_to_4417.png,"f4_n_to_4417.png/热点 1(x=0.5683, y=0.2640)；f4_n_to_4417.png/热点 2(x=0.3926, y=0.2650)",f4_5.jpg；f4_3.jpg,2,2
22,f4_n_to_f4_ne.png,"f4_n_to_f4_ne.png/热点 1(x=0.5684, y=0.2640)；f4_n_to_f4_ne.png/热点 2(x=0.6906, y=0.2640)；f4_n_to_f4_ne.png/热点 3(x=0.8478, y=0.2621)",f4_4.jpg；f4_7.jpg；f4_9.jpg,3,3
23,f4_n_to_f4_nw.png,"f4_n_to_f4_nw.png/热点 1(x=0.5657, y=0.2640)；f4_n_to_f4_nw.png/热点 2(x=0.3955, y=0.2631)",f4_5.jpg；f4_3.jpg,2,2
24,f4_n_to_f4_s_e.png,"f4_n_to_f4_s_e.png/热点 1(x=0.5404, y=0.4689)；f4_n_to_f4_s_e.png/热点 2(x=0.5617, y=0.6486)",f4_15.jpg；f4_19.jpg,2,2
25,f4_n_to_f4_s_w.png,"f4_n_to_f4_s_w.png/热点 1(x=0.5398, y=0.4603)；f4_n_to_f4_s_w.png/热点 2(x=0.5405, y=0.6778)；f4_n_to_f4_s_w.png/热点 3(x=0.4863, y=0.6798)",f4_15.jpg；f4_18.jpg；f4_27.jpg,3,3
26,f4_n_to_f4_se.png,"f4_n_to_f4_se.png/热点 1(x=0.5399, y=0.4642)；f4_n_to_f4_se.png/热点 2(x=0.5722, y=0.6488)；f4_n_to_f4_se.png/热点 3(x=0.7151, y=0.6488)；f4_n_to_f4_se.png/热点 4(x=0.8649, y=0.6488)",f4_15.jpg；f4_19.jpg；f4_21.jpg；f4_24.jpg,4,4
27,f4_n_to_f4_sw.png,"f4_n_to_f4_sw.png/热点 1(x=0.5407, y=0.4624)；f4_n_to_f4_sw.png/热点 2(x=0.5400, y=0.6810)；f4_n_to_f4_sw.png/热点 3(x=0.4837, y=0.6810)；f4_n_to_f4_sw.png/热点 4(x=0.2879, y=0.7296)",f4_15.jpg；f4_18.jpg；f4_27.jpg；f4_29.jpg,4,4
28,f4_ne_to_4401.png,"f4_ne_to_4401.png/热点 1(x=0.8700, y=0.2633)；f4_ne_to_4401.png/热点 2(x=0.6913, y=0.2643)；f4_ne_to_4401.png/热点 3(x=0.5683, y=0.2633)；f4_ne_to_4401.png/热点 4(x=0.5415, y=0.3488)；f4_ne_to_4401.png/热点 5(x=0.5416, y=0.4781)；f4_ne_to_4401.png/热点 6(x=0.5402, y=0.6832)；f4_ne_to_4401.png/热点 7(x=0.4832, y=0.6841)；f4_ne_to_4401.png/热点 8(x=0.2859, y=0.7347)",f4_10.jpg；f4_8.jpg；f4_6.jpg；f4_12.jpg；f4_15.jpg；f4_18.jpg；f4_27.jpg；f4_29.jpg,8,8
