"route_id","start_id","destination_id","map_name","path_svg"
"r_b1_n_to_4001","b1_n_stair","b1_room_4001","b1/b1_n_to_4001",""
"r_b1_n_to_4002","b1_n_stair","b1_room_4002","b1/b1_n_to_4002",""
"r_b1_n_to_b1_main_engine_room","b1_n_stair","b1_main_engine_room","b1/b1_n_to_b1_main_engine_room",""
"r_b1_n_to_b1_multifunction_hall","b1_n_stair","b1_multifunction_hall","b1/b1_n_to_b1_multifunction_hall",""
"r_b1_n_to_b1_multifunction_lobby","b1_n_stair","b1_multifunction_lobby","b1/b1_n_to_b1_multifunction_lobby",""
"r_b1_n_to_b1_power_room","b1_n_stair","b1_power_room","b1/b1_n_to_b1_power_room",""
"r_b1_n_to_b1_s","b1_n_stair","b1_s_stair","b1/b1_n_to_b1_s",""
"r_b1_n_to_b1_storage_room","b1_n_stair","b1_storage_room","b1/b1_n_to_b1_storage_room",""
"r_b1_s_to_4001","b1_s_stair","b1_room_4001","b1/b1_s_to_4001",""
"r_b1_s_to_4002","b1_s_stair","b1_room_4002","b1/b1_s_to_4002",""
"r_b1_s_to_b1_main_engine_room","b1_s_stair","b1_main_engine_room","b1/b1_s_to_b1_main_engine_room",""
"r_b1_s_to_b1_multifunction_hall","b1_s_stair","b1_multifunction_hall","b1/b1_s_to_b1_multifunction_hall",""
"r_b1_s_to_b1_multifunction_lobby","b1_s_stair","b1_multifunction_lobby","b1/b1_s_to_b1_multifunction_lobby",""
"r_b1_s_to_b1_n","b1_s_stair","b1_n_stair","b1/b1_s_to_b1_n",""
"r_b1_s_to_b1_power_room","b1_s_stair","b1_power_room","b1/b1_s_to_b1_power_room",""
"r_b1_s_to_b1_storage_room","b1_s_stair","b1_storage_room","b1/b1_s_to_b1_storage_room",""
"r_f1_east_to_4101","f1_east_gate","f1_room_4101","f1/f1_east_to_4101",""
"r_f1_east_to_4102","f1_east_gate","f1_room_4102","f1/f1_east_to_4102",""
"r_f1_east_to_4103","f1_east_gate","f1_room_4103","f1/f1_east_to_4103",""
"r_f1_east_to_4104","f1_east_gate","f1_room_4104","f1/f1_east_to_4104",""
"r_f1_east_to_4105","f1_east_gate","f1_room_4105","f1/f1_east_to_4105",""
"r_f1_east_to_4106","f1_east_gate","f1_room_4106","f1/f1_east_to_4106",""
"r_f1_east_to_4107","f1_east_gate","f1_room_4107","f1/f1_east_to_4107",""
"r_f1_east_to_4108","f1_east_gate","f1_room_4108","f1/f1_east_to_4108",""
"r_f1_east_to_4109","f1_east_gate","f1_room_4109","f1/f1_east_to_4109",""
"r_f1_east_to_4110","f1_east_gate","f1_room_4110","f1/f1_east_to_4110",""
"r_f1_east_to_4110_1","f1_east_gate","f1_room_4110_1","f1/f1_east_to_4110_1",""
"r_f1_east_to_4111","f1_east_gate","f1_room_4111","f1/f1_east_to_4111",""
"r_f1_east_to_4111_1","f1_east_gate","f1_room_4111_1","f1/f1_east_to_4111_1",""
"r_f1_east_to_4112","f1_east_gate","f1_room_4112","f1/f1_east_to_4112",""
"r_f1_east_to_4113","f1_east_gate","f1_room_4113","f1/f1_east_to_4113",""
"r_f1_east_to_4114","f1_east_gate","f1_room_4114","f1/f1_east_to_4114",""
"r_f1_east_to_4115","f1_east_gate","f1_room_4115","f1/f1_east_to_4115",""
"r_f1_east_to_4116","f1_east_gate","f1_room_4116","f1/f1_east_to_4116",""
"r_f1_east_to_center_stair","f1_east_gate","f1_middle_stair","f1/f1_east_to_center_stair",""
"r_f1_east_to_f1_south","f1_east_gate","f1_south_gate","f1/f1_east_to_f1_south",""
"r_f1_east_to_left_stair_4101","f1_east_gate","f1_left_stair_4101","f1/f1_east_to_left_stair_4101",""
"r_f1_east_to_left_stair_4108","f1_east_gate","f1_left_stair_4108","f1/f1_east_to_left_stair_4108",""
"r_f1_east_to_left_stair_4116","f1_east_gate","f1_stair_left_4116","f1/f1_east_to_left_stair_4116",""
"r_f1_east_to_right_stair_4102","f1_east_gate","f1_stair_right_4102","f1/f1_east_to_right_stair_4102",""
"r_f1_east_to_right_stair_4110","f1_east_gate","f1_stair_right_4110","f1/f1_east_to_right_stair_4110",""
"r_f1_east_to_right_stair_4111","f1_east_gate","f1_stair_right_4111","f1/f1_east_to_right_stair_4111",""
"r_f1_east_to_weak_room","f1_east_gate","f1_weak_room","f1/f1_east_to_weak_room",""
"r_f1_south_to_4101","f1_south_gate","f1_room_4101","f1/f1_south_to_4101",""
"r_f1_south_to_4102","f1_south_gate","f1_room_4102","f1/f1_south_to_4102",""
"r_f1_south_to_4103","f1_south_gate","f1_room_4103","f1/f1_south_to_4103",""
"r_f1_south_to_4104","f1_south_gate","f1_room_4104","f1/f1_south_to_4104",""
"r_f1_south_to_4105","f1_south_gate","f1_room_4105","f1/f1_south_to_4105",""
"r_f1_south_to_4106","f1_south_gate","f1_room_4106","f1/f1_south_to_4106",""
"r_f1_south_to_4107","f1_south_gate","f1_room_4107","f1/f1_south_to_4107",""
"r_f1_south_to_4108","f1_south_gate","f1_room_4108","f1/f1_south_to_4108",""
"r_f1_south_to_4109","f1_south_gate","f1_room_4109","f1/f1_south_to_4109",""
"r_f1_south_to_4110","f1_south_gate","f1_room_4110","f1/f1_south_to_4110",""
"r_f1_south_to_4110_1","f1_south_gate","f1_room_4110_1","f1/f1_south_to_4110_1",""
"r_f1_south_to_4111","f1_south_gate","f1_room_4111","f1/f1_south_to_4111",""
"r_f1_south_to_4111_1","f1_south_gate","f1_room_4111_1","f1/f1_south_to_4111_1",""
"r_f1_south_to_4112","f1_south_gate","f1_room_4112","f1/f1_south_to_4112",""
"r_f1_south_to_4113","f1_south_gate","f1_room_4113","f1/f1_south_to_4113",""
"r_f1_south_to_4114","f1_south_gate","f1_room_4114","f1/f1_south_to_4114",""
"r_f1_south_to_4115","f1_south_gate","f1_room_4115","f1/f1_south_to_4115",""
"r_f1_south_to_4116","f1_south_gate","f1_room_4116","f1/f1_south_to_4116",""
"r_f1_south_to_center_stair","f1_south_gate","f1_middle_stair","f1/f1_south_to_center_stair",""
"r_f1_south_to_f1_east","f1_south_gate","f1_east_gate","f1/f1_south_to_f1_east",""
"r_f1_south_to_left_stair_4101","f1_south_gate","f1_left_stair_4101","f1/f1_south_to_left_stair_4101",""
"r_f1_south_to_left_stair_4108","f1_south_gate","f1_left_stair_4108","f1/f1_south_to_left_stair_4108",""
"r_f1_south_to_left_stair_4116","f1_south_gate","f1_stair_left_4116","f1/f1_south_to_left_stair_4116",""
"r_f1_south_to_right_stair_4102","f1_south_gate","f1_stair_right_4102","f1/f1_south_to_right_stair_4102",""
"r_f1_south_to_right_stair_4110","f1_south_gate","f1_stair_right_4110","f1/f1_south_to_right_stair_4110",""
"r_f1_south_to_right_stair_4111","f1_south_gate","f1_stair_right_4111","f1/f1_south_to_right_stair_4111",""
"r_f1_south_to_weak_room","f1_south_gate","f1_weak_room","f1/f1_south_to_weak_room",""
"r_f2_n_to_4201","f2_n_stair","f2_room_4201","f2/f2_n_to_4201",""
"r_f2_n_to_4202","f2_n_stair","f2_room_4202","f2/f2_n_to_4202",""
"r_f2_n_to_4203","f2_n_stair","f2_room_4203","f2/f2_n_to_4203",""
"r_f2_n_to_4204","f2_n_stair","f2_room_4204","f2/f2_n_to_4204",""
"r_f2_n_to_4205","f2_n_stair","f2_room_4205","f2/f2_n_to_4205",""
"r_f2_n_to_4206","f2_n_stair","f2_room_4206","f2/f2_n_to_4206",""
"r_f2_n_to_4207","f2_n_stair","f2_room_4207","f2/f2_n_to_4207",""
"r_f2_n_to_4208","f2_n_stair","f2_room_4208","f2/f2_n_to_4208",""
"r_f2_n_to_4209","f2_n_stair","f2_room_4209","f2/f2_n_to_4209",""
"r_f2_n_to_4210","f2_n_stair","f2_room_4210","f2/f2_n_to_4210",""
"r_f2_n_to_4211","f2_n_stair","f2_room_4211","f2/f2_n_to_4211",""
"r_f2_n_to_4211_1","f2_n_stair","f2_room_4211_1","f2/f2_n_to_4211_1",""
"r_f2_n_to_4212","f2_n_stair","f2_room_4212","f2/f2_n_to_4212",""
"r_f2_n_to_4213","f2_n_stair","f2_room_4213","f2/f2_n_to_4213",""
"r_f2_n_to_4214","f2_n_stair","f2_room_4214","f2/f2_n_to_4214",""
"r_f2_n_to_4215","f2_n_stair","f2_room_4215","f2/f2_n_to_4215",""
"r_f2_n_to_4216","f2_n_stair","f2_room_4216","f2/f2_n_to_4216",""
"r_f2_n_to_f2_ne","f2_n_stair","f2_ne_stair","f2/f2_n_to_f2_ne",""
"r_f2_n_to_f2_nw","f2_n_stair","f2_nw_stair","f2/f2_n_to_f2_nw",""
"r_f2_n_to_f2_s_e","f2_n_stair","f2_s_stair_e","f2/f2_n_to_f2_s_e",""
"r_f2_n_to_f2_s_w","f2_n_stair","f2_s_stair_w","f2/f2_n_to_f2_s_w",""
"r_f2_n_to_f2_se","f2_n_stair","f2_se_stair","f2/f2_n_to_f2_se",""
"r_f2_n_to_f2_sw","f2_n_stair","f2_sw_stair","f2/f2_n_to_f2_sw",""
"r_f2_ne_to_4201","f2_ne_stair","f2_room_4201","f2/f2_ne_to_4201",""
"r_f2_ne_to_4202","f2_ne_stair","f2_room_4202","f2/f2_ne_to_4202",""
"r_f2_ne_to_4203","f2_ne_stair","f2_room_4203","f2/f2_ne_to_4203",""
"r_f2_ne_to_4204","f2_ne_stair","f2_room_4204","f2/f2_ne_to_4204",""
"r_f2_ne_to_4205","f2_ne_stair","f2_room_4205","f2/f2_ne_to_4205",""
"r_f2_ne_to_4206","f2_ne_stair","f2_room_4206","f2/f2_ne_to_4206",""
"r_f2_ne_to_4207","f2_ne_stair","f2_room_4207","f2/f2_ne_to_4207",""
"r_f2_ne_to_4208","f2_ne_stair","f2_room_4208","f2/f2_ne_to_4208",""
"r_f2_ne_to_4209","f2_ne_stair","f2_room_4209","f2/f2_ne_to_4209",""
"r_f2_ne_to_4210","f2_ne_stair","f2_room_4210","f2/f2_ne_to_4210",""
"r_f2_ne_to_4211","f2_ne_stair","f2_room_4211","f2/f2_ne_to_4211",""
"r_f2_ne_to_4211_1","f2_ne_stair","f2_room_4211_1","f2/f2_ne_to_4211_1",""
"r_f2_ne_to_4212","f2_ne_stair","f2_room_4212","f2/f2_ne_to_4212",""
"r_f2_ne_to_4213","f2_ne_stair","f2_room_4213","f2/f2_ne_to_4213",""
"r_f2_ne_to_4214","f2_ne_stair","f2_room_4214","f2/f2_ne_to_4214",""
"r_f2_ne_to_4215","f2_ne_stair","f2_room_4215","f2/f2_ne_to_4215",""
"r_f2_ne_to_4216","f2_ne_stair","f2_room_4216","f2/f2_ne_to_4216",""
