"start_id","start_name","floor"
"b1_n_stair","负一层北楼梯口","B1"
"b1_s_stair","负一层南楼梯口","B1"
"f1_east_gate","一层东门","F1"
"f1_south_gate","一层南门","F1"
"f2_n_stair","二层北中楼梯口","F2"
"f2_ne_stair","二层东北楼梯口","F2"
"f2_nw_stair","二层西北楼梯口","F2"
"f2_s_stair_e","二层南中东楼梯口","F2"
"f2_s_stair_w","二层南中西楼梯口","F2"
"f2_se_stair","二层东南楼梯口","F2"
"f2_sw_stair","二层西南楼梯口","F2"
"f3_n_stair","三层北中楼梯口","F3"
"f3_ne_stair","三层东北楼梯口","F3"
"f3_nw_stair","三层西北楼梯口","F3"
"f3_s_stair_e","三层南中东楼梯口","F3"
"f3_s_stair_w","三层南中西楼梯口","F3"
"f3_se_stair","三层东南楼梯口","F3"
"f3_sw_stair","三层西南楼梯口","F3"
"f4_n_stair","四层北中楼梯口","F4"
"f4_ne_stair","四层东北楼梯口","F4"
"f4_nw_stair","四层西北楼梯口","F4"
"f4_s_stair_e","四层南中东楼梯口","F4"
"f4_s_stair_w","四层南中西楼梯口","F4"
"f4_se_stair","四层东南楼梯口","F4"
"f4_sw_stair","四层西南楼梯口","F4"
"f5_n_stair","五层北中楼梯口","F5"
"f5_ne_stair","五层东北楼梯口","F5"
"f5_nw_stair","五层西北楼梯口","F5"
"f5_s_stair_e","五层南中东楼梯口","F5"
"f5_s_stair_w","五层南中西楼梯口","F5"
"f5_se_stair","五层东南楼梯口","F5"
"f5_sw_stair","五层西南楼梯口","F5"
"f6_n_stair","六层北中楼梯口","F6"
"f6_ne_stair","六层东北楼梯口","F6"
"f6_nw_stair","六层西北楼梯口","F6"
"f6_s_stair_e","六层南中东楼梯口","F6"
"f6_s_stair_w","六层南中西楼梯口","F6"
"f6_se_stair","六层东南楼梯口","F6"
"f6_sw_stair","六层西南楼梯口","F6"
